iter	RMSE
0	2.81951779
1	2.80983477
2	2.798518625
3	2.780127545
4	2.771590016
5	2.760572684
6	2.752661215
7	2.74473303
8	2.742118389
9	2.731416047
10	2.728179121
11	2.725413623
12	2.719382942
13	2.711492066
14	2.703305968
15	2.697586143
16	2.689510243
17	2.681404812
18	2.674475227
19	2.670604277
20	2.670403588
21	2.665055258
22	2.66202276
23	2.660218171
24	2.654773402
25	2.643979798
26	2.640264178
27	2.633888896
28	2.632158367
29	2.621717015
30	2.611165308
31	2.606155214
32	2.604648604
33	2.59480963
34	2.591487549
35	2.588293669
36	2.580480301
37	2.572094298
38	2.56609673
39	2.565987188
40	2.557481161
41	2.555537872
42	2.54728052
43	2.539257541
44	2.534020179
45	2.528134089
46	2.52322106
47	2.519075
48	2.513155358
49	2.504575228
50	2.496908394
51	2.488900858
52	2.480493609
53	2.477006533
54	2.471569324
55	2.465214244
56	2.461391592
57	2.455327831
58	2.452301179
59	2.451509667
60	2.443093435
61	2.436472014
62	2.428591221
63	2.423683021
64	2.414669292
65	2.403743258
66	2.391000377
67	2.389889728
68	2.388692432
69	2.387353549
70	2.382878982
71	2.375788677
72	2.365950993
73	2.356011383
74	2.3486144
75	2.343097155
76	2.334775641
77	2.328622801
78	2.321587679
79	2.312001193
80	2.303963147
81	2.297532478
82	2.29646545
83	2.287462614
84	2.283177946
85	2.282747073
86	2.277982821
87	2.268362395
88	2.260475997
89	2.251565389
90	2.246197201
91	2.244307019
92	2.236764616
93	2.230283842
94	2.223939406
95	2.214564966
96	2.206719507
97	2.198846148
98	2.192109481
99	2.18408752
100	2.176581053
101	2.167496829
102	2.166855776
103	2.165627246
104	2.159041738
105	2.150823043
106	2.142065574
107	2.141519623
108	2.135625072
109	2.131061151
110	2.127067216
111	2.12223413
112	2.120637668
113	2.115629925
114	2.10974831
115	2.100354203
116	2.093137687
117	2.086811182
118	2.081561148
119	2.079530474
120	2.071398838
121	2.069619689
122	2.063491105
123	2.059671261
124	2.053689072
125	2.04713543
126	2.043399894
127	2.04029923
128	2.033593886
129	2.025851527
130	2.021590311
131	2.01833013
132	2.013062887
133	2.00834881
134	2.006787275
135	2.001932339
136	1.996500126
137	1.992117996
138	1.989411907
139	1.984656946
140	1.981765424
141	1.977176289
142	1.97407512
143	1.970417422
144	1.966679233
145	1.960116227
146	1.958370848
147	1.953965858
148	1.951251556
149	1.946640614
150	1.94336382
151	1.941588011
152	1.937459106
153	1.934025221
154	1.926771061
155	1.924294669
156	1.921956481
157	1.916656272
158	1.912653072
159	1.908732392
160	1.904843541
161	1.900363446
162	1.896380584
163	1.892252406
164	1.889192853
165	1.888043389
166	1.883502315
167	1.876727117
168	1.872366645
169	1.871489767
170	1.866857596
171	1.864979762
172	1.857292566
173	1.85568411
174	1.852754386
175	1.850272055
176	1.846554762
177	1.842769481
178	1.842375996
179	1.842081032
180	1.83832733
181	1.836414427
182	1.834324227
183	1.831384532
184	1.827963174
185	1.827767939
186	1.825060049
187	1.824616771
188	1.821371995
189	1.818130876
190	1.815106735
191	1.81347412
192	1.813066572
193	1.811747437
194	1.80906504
195	1.804811695
196	1.801692733
197	1.801221805
198	1.801037825
199	1.794609862
